taxonomy,P18,W3,W64,Y14,Y17,Y18,Y25,Y41,Y52,Y70,Y7
Tanisvirus,0,0,0,0,0,0,0,0,0,0,32
Tectiviridae,16,0,5,0,611,0,84,21,16,0,0
Thornevirus,143,2518,1136,226,12,404,199,8710,13363,1195,16328
Tlsvirus,37,0,10,0,0,0,0,1642,0,4,0
Tobamovirus,8,0,119,0,0,0,0,0,0,0,0
Tombusviridae,2721,5200,7182,538,5986,1202,998,1150,16671,2775,4640
Tombusvirus,297,225854,220,75,1436,3177,14,10,9819,457,164
Torovirus,0,0,0,78,0,0,0,0,8,9074,0
Totiviridae,69,95,29,135,158,72,150,16,72,64,171
Totivirus,34,10,18,97,24,24,103,12,43,16,134
Tsarbombavirus,8,4,8,37,49,12,0,10,59,10,90
Tunavirus,0,1186,18,21904,1557,838,114,1250,1571,440,14386
Tymovirales,0,0,0,0,0,0,0,0,12,0,0
Umbravirus,0,0,0,0,0,0,0,0,12,0,0
Unuamitovirus,0,0,0,6,2,0,0,0,0,0,0
Vequintavirus,0,0,0,0,0,0,0,166,144,0,0
Virgaviridae,337,12,172,0,2,0,0,0,0,4,0
Watanabevirus,664,17,147,2,49,4,0,0,32,0,325
Whopevirus,0,6,0,0,0,0,0,0,2,0,52
Winklervirus,0,0,0,2,4,0,0,0,0,0,0
Wotdevirus,107,168,32,474,54,4857,22377,110,67,1620,377
Wulfhauvirus,0,60,2,7,2,2,0,0,4387,0,1471
